时间点,房间ID,耗时,倍数,茶水费,基础银,基础分,房间下限,对局类型,玩家1,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,玩家2,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,玩家3,状态,类型,角色,输赢,初始银两,剩余银两,积分输赢,初始积分,剩余积分,是否是不洗牌做牌,正式打牌时间,玩家1机器人版本,玩家2机器人版本,玩家3机器人版本,游戏开始时间
2025-05-26 14:48:55,188,30,3,0,1500,1,70000,0,1109671,65,机器人,地主,0,91190,91190,0,1,1,1110055,65,机器人,农民,0,133840,133840,0,1,1,1109688,65,机器人,农民,0,71100,71100,0,0,0,是,0,192.168.102.45:2409,192.168.102.45:2409,192.168.102.45:2412,1748242103
2025-05-26 14:48:58,188,75,24,24000,1500,1,70000,0,1109992,65,机器人,地主,177120,185120,354240,0,0,0,1109957,65,机器人,农民,-88560,343990,247430,0,1,1,1109997,65,机器人,农民,-88560,376819,280259,0,0,0,是,65,192.168.102.45:2412,192.168.102.45:2412,192.168.102.45:2409,1748242062
2025-05-26 14:49:17,188,73,24,24000,1500,1,70000,0,1109716,65,机器人,地主,72000,108904,172904,0,0,0,1109956,65,机器人,农民,-36000,117840,73840,0,1,1,1109693,65,机器人,农民,-36000,173430,129430,0,0,0,是,61,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2412,1748242084
2025-05-26 14:50:04,188,63,48,24000,1500,1,70000,0,1110036,65,机器人,地主,116300,124300,232600,0,0,0,1109813,65,机器人,农民,-58150,220975,154825,0,0,0,1109819,65,机器人,农民,-58150,71390,5240,0,0,0,是,45,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2412,1748242141
2025-05-26 14:50:07,188,62,24,24000,1500,1,70000,0,1110120,65,机器人,地主,87764,95765,175529,0,0,0,1109793,65,机器人,农民,-43882,71310,19428,0,0,0,1110220,65,机器人,农民,-43882,70870,18988,0,0,0,是,34,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2412,1748242142
2025-05-26 14:50:08,188,50,24,24000,1500,1,70000,0,1109743,65,机器人,地主,-62870,70870,0,0,0,0,1109671,65,机器人,农民,31435,91190,114625,0,1,1,1110055,65,机器人,农民,31435,133840,157275,0,1,1,是,38,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748242157
2025-05-26 14:50:13,188,48,12,24000,1500,1,70000,0,1110115,65,机器人,地主,36000,72560,100560,0,1,1,1109957,65,机器人,农民,-18000,247430,221430,0,1,1,1109875,65,机器人,农民,-18000,99545,73545,0,0,0,是,36,192.168.102.45:2409,192.168.102.45:2409,192.168.102.45:2412,1748242164
2025-05-26 14:50:55,188,38,6,24000,1500,1,70000,0,1109716,65,机器人,地主,18000,172904,182904,0,0,0,1110170,65,机器人,农民,-9000,72880,55880,0,0,0,1110124,65,机器人,农民,-9000,71580,54580,0,1,1,是,24,192.168.102.45:2409,192.168.102.45:2412,192.168.102.45:2409,1748242216
2025-05-26 14:50:58,188,87,768,24000,1500,1,70000,0,1109956,65,机器人,地主,-65840,73840,0,0,1,1,1109693,65,机器人,农民,32920,129430,154350,0,0,0,1109886,65,机器人,农民,32920,199990,224910,0,0,0,是,72,192.168.102.45:2412,192.168.102.45:2412,192.168.102.45:2409,1748242171
2025-05-26 14:51:35,188,66,192,24000,1500,1,70000,0,1109797,65,机器人,地主,77450,85450,154900,0,0,0,1109957,65,机器人,农民,-38725,221430,174705,0,1,1,1110115,65,机器人,农民,-38725,100560,53835,0,1,1,是,51,192.168.102.45:2412,192.168.102.45:2409,192.168.102.45:2409,1748242226
